advance_id,employee_id,request_date,request_time,amount_cad,available_balance_cad,fee_cad,destination,status,approved_minutes,pay_period_end
EWA-90001,EMP-1002,2026-06-03,08:14,180.00,412.50,1.99,bank_account,completed,2,2026-06-13
EWA-90002,EMP-1003,2026-06-03,12:41,95.00,168.00,1.99,prepaid_card,completed,1,2026-06-13
EWA-90003,EMP-1010,2026-06-04,07:52,250.00,390.00,1.99,bank_account,completed,3,2026-06-13
EWA-90004,EMP-1005,2026-06-04,18:20,140.00,305.00,1.99,gift_card,completed,1,2026-06-13
EWA-90005,EMP-1019,2026-06-05,09:05,220.00,260.00,1.99,bank_account,completed,4,2026-06-13
EWA-90006,EMP-1008,2026-06-05,21:33,75.00,110.00,1.99,prepaid_card,completed,1,2026-06-13
EWA-90007,EMP-1012,2026-06-06,10:18,160.00,420.00,1.99,bank_account,completed,2,2026-06-13
EWA-90008,EMP-1002,2026-06-07,14:02,120.00,230.00,1.99,bank_account,completed,2,2026-06-13
EWA-90009,EMP-1018,2026-06-08,16:47,200.00,355.00,1.99,bank_account,completed,1,2026-06-13
EWA-90010,EMP-1003,2026-06-09,08:55,60.00,90.00,1.99,prepaid_card,declined,0,2026-06-13
EWA-90011,EMP-1005,2026-06-10,19:11,175.00,280.00,1.99,bank_account,completed,2,2026-06-13
EWA-90012,EMP-1010,2026-06-11,07:28,300.00,340.00,1.99,bank_account,completed,3,2026-06-13
EWA-90013,EMP-1019,2026-06-12,11:40,90.00,150.00,1.99,gift_card,completed,1,2026-06-13
EWA-90014,EMP-1007,2026-06-17,08:09,150.00,480.00,1.99,bank_account,completed,2,2026-06-27
EWA-90015,EMP-1002,2026-06-18,13:22,210.00,390.00,1.99,bank_account,completed,2,2026-06-27
EWA-90016,EMP-1004,2026-06-18,20:05,125.00,510.00,1.99,bank_account,completed,1,2026-06-27
EWA-90017,EMP-1008,2026-06-19,09:48,80.00,95.00,1.99,prepaid_card,completed,1,2026-06-27
EWA-90018,EMP-1015,2026-06-20,15:16,275.00,420.00,1.99,bank_account,completed,3,2026-06-27
EWA-90019,EMP-1019,2026-06-21,10:33,190.00,210.00,1.99,bank_account,completed,2,2026-06-27
EWA-90020,EMP-1003,2026-06-22,17:59,70.00,120.00,1.99,gift_card,completed,1,2026-06-27
EWA-90021,EMP-1010,2026-06-23,08:07,240.00,360.00,1.99,bank_account,completed,2,2026-06-27
EWA-90022,EMP-1005,2026-06-24,12:51,155.00,270.00,1.99,bank_account,completed,1,2026-06-27
EWA-90023,EMP-1018,2026-06-25,18:40,100.00,310.00,1.99,prepaid_card,cancelled,0,2026-06-27
EWA-90024,EMP-1012,2026-06-26,07:15,180.00,400.00,1.99,bank_account,completed,2,2026-06-27
EWA-90025,EMP-1002,2026-07-01,09:12,160.00,380.00,1.99,bank_account,completed,2,2026-07-11
EWA-90026,EMP-1019,2026-07-02,21:28,230.00,245.00,1.99,bank_account,completed,4,2026-07-11
EWA-90027,EMP-1003,2026-07-03,08:44,85.00,140.00,1.99,prepaid_card,completed,1,2026-07-11
EWA-90028,EMP-1010,2026-07-05,14:19,260.00,375.00,1.99,bank_account,completed,3,2026-07-11
EWA-90029,EMP-1005,2026-07-07,16:02,145.00,290.00,1.99,gift_card,completed,1,2026-07-11
EWA-90030,EMP-1008,2026-07-08,10:55,55.00,85.00,1.99,prepaid_card,declined,0,2026-07-11
EWA-90031,EMP-1015,2026-07-09,13:37,200.00,390.00,1.99,bank_account,completed,2,2026-07-11
EWA-90032,EMP-1002,2026-07-10,07:50,175.00,320.00,1.99,bank_account,completed,2,2026-07-11
EWA-90033,EMP-1019,2026-07-14,09:26,210.00,235.00,1.99,bank_account,completed,3,2026-07-25
EWA-90034,EMP-1007,2026-07-15,11:08,130.00,470.00,1.99,bank_account,completed,1,2026-07-25
EWA-90035,EMP-1010,2026-07-16,18:33,280.00,350.00,1.99,bank_account,completed,2,2026-07-25
EWA-90036,EMP-1003,2026-07-17,08:21,90.00,130.00,1.99,prepaid_card,completed,1,2026-07-25
EWA-90037,EMP-1005,2026-07-18,20:14,165.00,275.00,1.99,bank_account,completed,2,2026-07-25
EWA-90038,EMP-1018,2026-07-20,12:46,120.00,300.00,1.99,gift_card,completed,1,2026-07-25
EWA-90039,EMP-1012,2026-07-21,15:09,190.00,410.00,1.99,bank_account,completed,2,2026-07-25
EWA-90040,EMP-1019,2026-07-22,09:58,225.00,250.00,1.99,bank_account,completed,3,2026-07-25
